sym,date,gap_pct,gap_bucket,level,time_bucket,break_time,rvol,std_result,std_ret,ret_30m,ret_1h,ret_2h,ret_3h,retest_found,rt_result,rt_ret
CSCO,2026-05-12,1.033,gap_1_2,PDH,early,09:32,1.87,SL,-0.5,0.02,-0.202,-1.152,-0.732,1,SL,-0.5
CSCO,2026-06-08,1.57,gap_1_2,PMH,mid,10:01,0.81,TP,1.0,1.279,1.967,2.056,1.093,1,TP,1.0
CVX,2026-01-21,1.028,gap_1_2,PMH,early,09:31,0.98,SL,-0.5,-0.096,-0.048,0.293,0.012,1,SL,-0.5
CVX,2026-01-29,1.607,gap_1_2,PMH,early,09:34,1.33,SL,-0.5,-0.273,-0.788,-0.673,-0.477,1,SL,-0.5
CVX,2026-03-02,1.917,gap_1_2,PDH,early,09:46,1.59,TP,1.0,1.118,0.674,1.041,0.272,1,TP,1.0
CVX,2026-04-02,2.615,gap_2plus,PMH,early,09:35,0.82,SL,-0.5,-0.496,-1.652,-2.091,-2.462,1,SL,-0.5
CVX,2026-04-13,1.543,gap_1_2,PDH,early,09:33,0.77,SL,-0.5,-0.319,-0.466,-0.031,0.194,1,SL,-0.5
CVX,2026-04-28,1.867,gap_1_2,PMH,early,09:31,0.95,SL,-0.5,-0.493,-0.392,0.493,0.217,0,,
CVX,2026-05-15,1.05,gap_1_2,PMH,early,09:37,1.06,SL,-0.5,-0.008,-0.161,-0.103,0.003,1,TP,1.0
CVX,2026-05-21,1.27,gap_1_2,PMH,early,09:48,0.81,SL,-0.5,-0.762,-0.996,-1.061,-0.687,0,,
CVX,2026-06-01,1.061,gap_1_2,PMH,early,09:40,1.01,TP,1.0,0.859,1.362,0.411,0.962,1,TP,1.0
CVX,2026-06-10,1.317,gap_1_2,PDH,early,09:31,1.17,SL,-0.5,0.087,0.113,0.789,1.159,1,SL,-0.5
CVX,2026-06-11,1.038,gap_1_2,PMH,early,09:39,0.88,SL,-0.5,-0.846,-1.039,-1.018,-0.893,1,SL,-0.5
FCX,2025-12-17,1.178,gap_1_2,PDH,early,09:45,1.07,TP,1.0,0.608,0.063,0.168,0.409,1,SL,-0.5
FCX,2025-12-22,1.771,gap_1_2,PMH,early,09:31,0.99,TP,1.0,0.565,0.02,0.704,0.615,1,TP,1.0
FCX,2025-12-23,1.915,gap_1_2,PMH,mid,10:16,0.97,TP,1.0,0.116,0.931,1.139,0.785,1,TP,1.0
FCX,2026-01-02,1.841,gap_1_2,PMH,mid,10:06,0.78,SL,-0.5,-0.441,-1.036,-1.554,-1.449,1,SL,-0.5
FCX,2026-01-05,3.254,gap_2plus,PMH,early,09:33,2.16,SL,-0.5,0.334,-0.009,-0.593,0.102,1,SL,-0.5
FCX,2026-01-06,2.95,gap_2plus,PMH,mid,10:56,2.13,TP,1.0,0.772,1.035,0.749,0.137,1,TP,1.0
FCX,2026-01-09,2.269,gap_2plus,PMH,early,09:43,1.29,TP,1.0,0.261,-0.009,1.143,1.861,1,TP,1.0
FCX,2026-01-13,2.257,gap_2plus,PDH,mid,10:21,1.45,SL,-0.5,-0.229,-0.195,0.45,-0.713,1,SL,-0.5
FCX,2026-01-14,1.492,gap_1_2,PDH,early,09:47,1.29,SL,-0.5,-0.49,-0.432,-1.238,-1.047,1,SL,-0.5
FCX,2026-01-21,2.481,gap_2plus,PMH,early,09:38,1.56,SL,-0.5,-0.081,-1.004,-1.475,-2.834,1,SL,-0.5
FCX,2026-01-28,2.004,gap_2plus,PMH,early,09:41,1.15,SL,-0.5,-2.704,-2.58,-2.611,-2.13,0,,
FCX,2026-01-29,9.035,gap_2plus,PDH,mid,11:14,2.35,SL,-0.5,0.263,0.247,0.568,0.201,1,SL,-0.5
