date,side,level,gap_regime,gap_pct,entry,bar_idx,ep,bars_waited,conf_close,mfe15,mfe30,mfe60,hit_>=0.40%,hit_>=0.50%,hit_>=0.60%,hit_>=0.75%
2026-02-20,long,1H/4H_Sup,Gap Down,-0.545,A,48,606.89,0,606.91,0.1664222511493007,0.4102885201601623,0.5701197910659322,True,True,False,False
2026-02-20,long,1H/4H_Sup,Gap Down,-0.545,B,51,607.38,3,606.91,0.08561361915110505,0.3622114656393107,0.48898547861306385,True,False,False,False
2026-02-20,long,1H/4H_Sup,Gap Down,-0.545,C,73,608.13,25,606.91,0.31407758209592823,0.36505352473978053,0.36505352473978053,False,False,False,False
2026-02-24,long,PML,Flat,0.145,A,49,604.51,0,604.53,0.5210831913450527,0.549205141354163,0.6120659707862641,True,True,True,False
2026-02-24,long,PML,Flat,0.145,B,50,605.03,1,604.53,0.4346891889658357,0.462786969241206,0.5255937722096531,True,True,False,False
2026-02-24,long,PML,Flat,0.145,C,52,605.54,3,604.53,0.35010073653268237,0.3781748521980509,0.4409287578029648,True,False,False,False
2026-02-24,long,1H/4H_Sup,Flat,0.145,A,36,604.17,0,604.19,0.26648128837910084,0.5776519853683582,0.612410414287377,True,True,True,False
2026-02-24,long,1H/4H_Sup,Flat,0.145,B,39,604.68,3,604.19,0.22821988489779643,0.4928226499966955,0.5275517629159315,True,True,False,False
2026-02-24,long,1H/4H_Sup,Flat,0.145,C,53,605.81,17,604.19,0.305376273088926,0.33343787656197416,0.39616381373699533,False,False,False,False
2026-02-27,long,PML,Gap Down,-0.99,A,16,605.01,0,605.0,0.22148394241418026,0.38346473612007237,0.4776780549081811,True,False,False,False
2026-02-27,long,PML,Gap Down,-0.99,B,18,605.61,2,605.0,0.1221908488961558,0.2840111622991739,0.37813114050295793,False,False,False,False
2026-02-27,long,PML,Gap Down,-0.99,C,18,605.61,2,605.0,0.1221908488961558,0.2840111622991739,0.37813114050295793,False,False,False,False
2026-02-27,long,PDL,Gap Down,-0.99,A,32,605.71,0,605.71,0.267454722557,0.27901140809957586,0.3615591619751929,False,False,False,False
2026-02-27,long,PDL,Gap Down,-0.99,B,37,606.51,5,605.71,0.13519974938583867,0.14674119140656977,0.24072150500404552,False,False,False,False
2026-02-27,long,PDL,Gap Down,-0.99,C,37,606.51,5,605.71,0.13519974938583867,0.14674119140656977,0.24072150500404552,False,False,False,False
2026-03-03,long,PML,Gap Down,-1.927,A,23,596.75,0,596.74,0.03519061583578322,0.03519061583578322,0.03519061583578322,False,False,False,False
2026-03-03,short,PMH,Gap Down,-1.927,A,32,594.91,0,594.9,0.19666840362407073,0.5110016641172553,0.5110016641172553,True,True,False,False
2026-03-03,short,PMH,Gap Down,-1.927,B,46,594.72,14,594.9,0.47921711057304656,0.47921711057304656,0.47921711057304656,True,False,False,False
2026-03-03,short,PMH,Gap Down,-1.927,C,46,594.72,14,594.9,0.02017756255044467,0.02017756255044467,0.5683346785041693,True,True,False,False
2026-03-03,short,PMH,Gap Down,-1.927,A,46,594.72,0,594.72,0.47921711057304656,0.47921711057304656,0.47921711057304656,True,False,False,False
2026-03-03,short,PMH,Gap Down,-1.927,B,47,594.35,1,594.72,0.4172625557331569,0.4172625557331569,0.4172625557331569,True,False,False,False
2026-03-03,short,PMH,Gap Down,-1.927,C,47,594.35,1,594.72,0.011777572137618632,0.07234794313114326,0.6730041221502481,True,True,True,False
2026-03-04,long,PML,Flat,0.439,A,23,605.98,0,606.0,0.2772368725040348,0.6452358163635711,0.8581141291791695,True,True,True,True
2026-03-04,long,PML,Flat,0.439,B,30,606.87,7,606.0,0.16477993639494457,0.710201525862202,0.710201525862202,True,True,True,False
2026-03-04,long,PML,Flat,0.439,C,30,606.87,7,606.0,0.16477993639494457,0.710201525862202,0.710201525862202,True,True,True,False
2026-03-04,short,PMH,Flat,0.439,A,15,603.92,0,603.88,0.008279242283738662,0.008279242283738662,0.008279242283738662,False,False,False,False
2026-03-05,long,PML,Flat,-0.459,A,136,608.66,0,608.67,0.08050471527618196,0.33351953471561896,0.33351953471561896,False,False,False,False
2026-03-05,short,PMH,Flat,-0.459,A,99,607.7,0,607.7,0.22873128188252426,0.22873128188252426,0.22873128188252426,False,False,False,False
