sym,date,gap_pct,gap_bucket,rvol,ret_2h
INTU,2022-05-25,3.233,gap_2plus,2.82,3.0743
INTU,2022-08-24,6.132,gap_2plus,2.89,-0.9657
INTU,2022-11-10,7.816,gap_2plus,1.59,-0.9601
INTU,2022-12-13,5.138,gap_2plus,1.88,0.8829
INTU,2023-01-20,1.138,gap_1_2,1.55,1.028
INTU,2023-02-23,1.052,gap_1_2,1.98,-1.85
INTU,2023-05-30,1.511,gap_1_2,1.8,-2.1841
INTU,2023-11-29,3.088,gap_2plus,2.07,-0.9704
INTU,2024-02-22,1.881,gap_1_2,1.79,0.1789
JPM,2022-01-04,1.609,gap_1_2,1.69,1.4271
JPM,2022-07-15,1.066,gap_1_2,1.57,3.1585
JPM,2022-10-14,2.437,gap_2plus,2.76,-0.3068
JPM,2022-10-17,3.409,gap_2plus,1.6,0.1224
JPM,2022-12-06,1.581,gap_1_2,1.6,-1.6513
JPM,2023-04-14,4.756,gap_2plus,3.06,0.3728
JPM,2023-06-29,1.058,gap_1_2,1.79,1.1225
JPM,2024-01-12,2.058,gap_2plus,2.34,-2.1723
