symbol,date,score,tp,sl,pnl,exit_type,entry_price,mfe,mae
NVDA,2026-03-18,6,0.005,0.0025,0.005,tp,183.09,0.0067726254847343,0.0024031896881315
NVDA,2026-03-18,6,0.005,0.0025,-0.0025,sl,181.1051,0.0021263895936668,0.0082543230422555
NVDA,2026-03-19,6,0.005,0.0025,-0.0025,sl,178.35,0.0015138772077374,0.0119988786094758
NVDA,2026-03-19,6,0.005,0.0025,-0.0025,sl,178.14,0.0003368137420005,0.0036488155383406
NVDA,2026-03-19,6,0.005,0.0025,0.0020048227904889,avg,178.32,0.0042620008972632,0.0002523553162854
NVDA,2026-03-20,6,0.005,0.0025,0.005,tp,176.92,0.0063305448790412,0.0063022835179742
NVDA,2026-03-23,6,0.005,0.0025,-0.0025,sl,177.3899,0.0007886582043284,0.0055251172699234
NVDA,2026-03-23,6,0.005,0.0025,-0.00028361088586450003,avg,175.2401,0.0015413138887732,0.0021085356605022
NVDA,2026-03-23,6,0.005,0.0025,-0.0025,sl,176.2401,0.0023836799911031,0.0026095082787627
NVDA,2026-03-23,6,0.005,0.0025,0.0018748934719617998,avg,176.01,0.0042611215271859,0.0005113345832623
NVDA,2026-03-24,6,0.005,0.0025,-0.0025,sl,175.78,5.68892934349238e-05,0.0029582432586187
NVDA,2026-03-24,6,0.005,0.0025,-0.0025,sl,174.4107,0.0018387633327541,0.0052708922101684
NVDA,2026-03-24,6,0.005,0.0025,-0.00015688287979919997,avg,175.29,0.0021107878372982,0.0024245535968966
NVDA,2026-03-25,6,0.005,0.0025,0.005,tp,177.65,0.0064734027582325,0.0040529130312411
NVDA,2026-03-25,6,0.005,0.0025,-0.0025,sl,177.1,0.0014116318464144,0.0154714850367024
NVDA,2026-03-26,6,0.005,0.0025,-0.0025,sl,176.01,0.0047724561104482,0.0028407476847906
NVDA,2026-03-26,6,0.005,0.0025,-0.0025,sl,176.01,0.0047724561104482,0.0028407476847906
NVDA,2026-03-27,6,0.005,0.0025,0.005,tp,169.41,0.0074375774747653,0.0092084292544714
NVDA,2026-03-27,6,0.005,0.0025,0.005,tp,169.41,0.0074375774747653,0.0092084292544714
NVDA,2026-03-30,6,0.005,0.0025,-0.0025,sl,168.53,0.0006527027828874,0.0046282560968373
NVDA,2026-03-30,6,0.005,0.0025,0.005,tp,167.42,0.0072273324572929,0.0037032612591088
NVDA,2026-03-31,6,0.005,0.0025,-0.0025,sl,167.0634,0.0003196391310126,0.0056062548709052
NVDA,2026-03-31,7,0.005,0.0025,0.0010289731079612503,avg,172.988,0.0040927694406548,0.0020348232247323
NVDA,2026-03-31,6,0.005,0.0025,-0.0025,sl,173.98,0.0003161282906079,0.0050005747787102
NVDA,2026-04-01,6,0.005,0.0025,-0.0025,sl,174.97,0.0012573584042978,0.0093158827227524
NVDA,2026-04-01,6,0.005,0.0025,-0.0005269447447790501,avg,175.73,0.0013082569851475,0.0023621464747056
NVDA,2026-04-01,6,0.005,0.0025,-0.0006528156221616501,avg,176.16,0.0003405994550408,0.0016462306993641
NVDA,2026-04-02,6,0.005,0.0025,-0.0025,sl,170.84,0.0019901662374151,0.0170334816202294
NVDA,2026-04-02,6,0.005,0.0025,-0.0025,sl,176.32,0.0011904491833031,0.0041401996370236
NVDA,2026-04-07,6,0.005,0.0025,-0.0025,sl,175.165,0.0041389546998543,0.0026546399109411
NVDA,2026-04-07,6,0.005,0.0025,0.0010537107706328,avg,175.57,0.0033604829982343,0.0012530614569687
NVDA,2026-04-08,6,0.005,0.0025,0.005,tp,184.73,0.0051967736696799,0.0008661289449466
NVDA,2026-04-08,7,0.005,0.0025,0.005,tp,183.65,0.0067514293493057,0.0058807514293492
NVDA,2026-04-08,6,0.005,0.0025,0.005,tp,183.26,0.0104769180399431,0.0039015606242497
NVDA,2026-04-08,7,0.005,0.0025,0.005,tp,183.26,0.0104769180399431,0.0039015606242497
NVDA,2026-04-16,6,0.005,0.0025,0.005,tp,197.28,0.0074513381995133,0.0026358475263585
NVDA,2026-04-17,6,0.005,0.0025,0.0020280434349471002,avg,200.76,0.004803247658896,0.0007471607890018
NVDA,2026-04-20,7,0.005,0.0025,0.005,tp,199.99,0.007850392519626,0.0027001350067502
NVDA,2026-04-20,6,0.005,0.0025,-0.0025,sl,199.1601,0.0014566170633575,0.0065771206180354
NVDA,2026-04-21,6,0.005,0.0025,0.005,tp,200.185,0.0050203561705422,0.0025336563678597
NVDA,2026-04-21,6,0.005,0.0025,-0.0025,sl,199.7486,0.0028465781487329,0.0052636163657717
NVDA,2026-04-22,6,0.005,0.0025,-0.0025,sl,200.27,0.0038448095071653,0.0040445398711739
NVDA,2026-04-23,6,0.005,0.0025,-0.0025,sl,201.7402,0.0031486039966253,0.0103539106236636
NVDA,2026-04-23,6,0.005,0.0025,-0.0025,sl,201.935,0.001559907891153,0.0026988882561219
NVDA,2026-04-23,6,0.005,0.0025,0.005,tp,202.32,0.0056346381969157,0.0019770660340055
NVDA,2026-04-23,6,0.005,0.0025,0.005,tp,201.13,0.0103897976433152,0.0003927807885447
NVDA,2026-04-24,6,0.005,0.0025,-0.0025,sl,208.17,0.0030263726761781,0.0050439544602969
NVDA,2026-04-28,6,0.005,0.0025,0.005,tp,212.68,0.011190520970472,0.0008914801579837
NVDA,2026-04-28,6,0.005,0.0025,-0.0025,sl,208.995,0.0038039187540372,0.0174884566616426
NVDA,2026-04-28,6,0.005,0.0025,-0.0025,sl,209.51,0.000190921674383,0.0065867977662163
NVDA,2026-04-29,6,0.005,0.0025,0.005,tp,209.0651,0.0070356075691255,0.0008126655285842
NVDA,2026-04-29,6,0.005,0.0025,-0.0025,sl,208.34,4.7998464049106775e-05,0.0150715177114331
NVDA,2026-04-30,6,0.005,0.0025,0.005,tp,210.5,0.0237529691211401,0.0004750593824227
NVDA,2026-04-30,6,0.005,0.0025,0.005,tp,201.1912,0.00512547268469,0.0031253852057146
NVDA,2026-05-01,6,0.005,0.0025,-0.0025,sl,199.93,0.0039513829840445,0.0034507077477116
NVDA,2026-05-01,6,0.005,0.0025,0.0009297884103131001,avg,198.97,0.0037694124742423,0.0019098356536161
NVDA,2026-05-01,6,0.005,0.0025,0.00070481033050565,avg,198.635,0.002089259193999,0.0006796385329877
NVDA,2026-05-04,6,0.005,0.0025,-0.0025,sl,198.83,0.0019111804053715,0.0046773625710404
NVDA,2026-05-04,6,0.005,0.0025,-0.0025,sl,198.53,0.0045333199012743,0.0161184707600865
NVDA,2026-05-04,7,0.005,0.0025,0.005,tp,197.4072,0.0135111586608795,0.0031042434115879
NVDA,2026-05-04,6,0.005,0.0025,-0.0025,sl,198.07,0.0017165648508103,0.0034331297016206
NVDA,2026-05-05,6,0.005,0.0025,0.005,tp,199.3,0.0059708981435022,0.0047165077772202
NVDA,2026-05-05,6,0.005,0.0025,0.005,tp,198.75,0.0062893081761006,0.0014088050314465
NVDA,2026-05-05,6,0.005,0.0025,0.00215528170799735,avg,197.19,0.0044627009483239,0.0001521375323292
NVDA,2026-05-06,6,0.005,0.0025,-0.0025,sl,198.87,0.0004022728415548,0.0291144969075274
NVDA,2026-05-06,6,0.005,0.0025,0.005,tp,207.18,0.0083502268558742,0.0031373684718602
NVDA,2026-05-06,6,0.005,0.0025,-0.0025,sl,206.15,0.0033955857385399,0.0081494057724957
NVDA,2026-05-07,6,0.005,0.0025,-0.0025,sl,206.93,0.0020779973904219,0.0172522108925723
NVDA,2026-05-07,6,0.005,0.0025,-0.0025,sl,206.97,0.0022708605111851,0.0170556119244334
NVDA,2026-05-08,6,0.005,0.0025,-0.0025,sl,213.11,0.0010323307212239,0.0218197175167752
NVDA,2026-05-08,6,0.005,0.0025,0.00064874884152,avg,215.8,0.0029657089898054,0.0016682113067654
NVDA,2026-05-11,7,0.005,0.0025,0.00028055737398294993,avg,213.86,0.0015898251192368,0.0010287103712709
NVDA,2026-05-11,6,0.005,0.0025,0.0023492206912129237,avg,221.35,0.0047436187034108,4.517732098495291e-05
NVDA,2026-05-12,6,0.005,0.0025,0.005,tp,218.22,0.0052240857849875,0.0040784529374026
NVDA,2026-05-12,7,0.005,0.0025,-0.0025,sl,217.84,0.0035806096217407,0.0058299669482189
NVDA,2026-05-12,6,0.005,0.0025,-0.0025,sl,217.99,0.0010092206064498,0.0085783751548236
NVDA,2026-05-12,6,0.005,0.0025,-0.0025,sl,220.25,0.0015854710556185,0.0035414301929625
NVDA,2026-05-13,6,0.005,0.0025,0.005,tp,225.35,0.0068781894830263,0.001775016640781
NVDA,2026-05-13,6,0.005,0.0025,0.005,tp,225.0002,0.0055119951004488,0.000887554766618
