date,side,ep,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.25%,hit_+0.50%,hit_+0.75%,hit_+1.00%
2026-03-25,long,657.09,0.08826796938013472,0.21610433882726454,0.19479827725273138,0.21610433882726454,0.5189547854936108,0.21610433882726454,True,True,False,False
2026-03-25,long,657.13,0.08217552082540192,0.2221782600094405,0.2160911843927319,0.2221782600094405,0.5128361207067101,0.2221782600094405,True,True,False,False
2026-03-25,long,656.78,0.12332896860441231,0.16900636438381403,0.5663997076646712,0.16900636438381403,0.5663997076646712,0.16900636438381403,True,True,False,False
2026-03-27,long,638.72,0.1972851953907762,0.009393787575159556,0.32565130260519903,0.009393787575159556,0.32565130260519903,0.06575651302606349,True,False,False,False
2026-03-30,long,635.97,0.10377848011698164,0.20283975659230424,0.13208170196706104,0.20283975659230424,0.1540953189615891,0.20283975659230424,False,False,False,False
2026-03-30,long,635.52,0.1463368580060523,0.13217522658610772,0.20298338368579488,0.13217522658610772,0.22501258811682776,0.13217522658610772,False,False,False,False
2026-03-30,long,635.19,0.2314268171728008,0.08029093657017657,0.25504179851696196,0.08029093657017657,0.3195894141910251,0.08029093657017657,True,False,False,False
2026-03-31,short,642.31,0.1868256760754047,0.09964036057357041,0.22107705002256842,0.09964036057357041,0.6492192243620618,0.09964036057357041,True,True,False,False
2026-03-31,short,642.75,0.27382341501361196,0.0077635161415759825,0.2893815635939344,0.0077635161415759825,0.7421236872812107,0.0077635161415759825,True,True,False,False
2026-03-31,long,638.89,0.37408630593685716,0.14243453489645605,0.5321729875252356,0.14243453489645605,0.5321729875252356,0.14243453489645605,True,True,False,False
2026-03-31,long,638.81,0.3866564393168591,0.12992908689593577,0.5447629185516849,0.12992908689593577,0.5447629185516849,0.12992908689593577,True,True,False,False
2026-03-31,long,638.67,0.40866175019963574,0.10803701442058354,0.5668028872500672,0.10803701442058354,0.5668028872500672,0.10803701442058354,True,True,False,False
2026-04-01,short,656.68,0.07751111652553769,0.059389657062815994,0.07751111652553769,0.059389657062815994,0.11421087896692453,0.14162148991899612,False,False,False,False
2026-04-01,short,656.79,0.06394738044123069,0.042631586960837776,0.13093987423682055,0.042631586960837776,0.13093987423682055,0.19869364637099587,False,False,False,False
2026-04-01,short,657.09,0.06391818472356492,0.059352600100440786,0.06391818472356492,0.15294708487421743,0.06391818472356492,0.15294708487421743,False,False,False,False
2026-04-02,short,648.75,0.0631984585741762,0.27283236994219373,0.0631984585741762,0.3622350674373831,0.0631984585741762,1.4566473988439377,False,False,False,False
2026-04-02,short,649.06,0.07857517024620081,0.2249406834499178,0.07857517024620081,0.3143006809848207,0.07857517024620081,1.4081903059809726,False,False,False,False
2026-04-02,short,649.44,0.1370411431387195,0.1662971175166185,0.1370411431387195,0.25560482877555557,0.1370411431387195,1.348854397634884,False,False,False,False
2026-04-07,long,652.23,0.36183554880947116,0.04752924581820203,0.47682565965993795,0.04752924581820203,0.47682565965993795,0.17938457292673946,True,False,False,False
2026-04-07,long,651.98,0.42946102641184614,0.003067578760081875,0.5153532316942259,0.003067578760081875,0.5153532316942259,0.14110862296390575,True,True,False,False
2026-04-07,long,652.1,0.2698972550222345,0.15948474160406031,0.2698972550222345,0.15948474160406031,0.751418494095994,0.15948474160406031,True,True,True,False
2026-04-08,long,672.845,0.1686866960444071,0.20584235596608297,0.1686866960444071,0.20584235596608297,0.33217159969978427,0.20584235596608297,True,False,False,False
2026-04-08,long,672.86,0.16645364563207865,0.2080670570400941,0.16645364563207865,0.2080670570400941,0.32993490473501574,0.2080670570400941,True,False,False,False
2026-04-08,long,671.69,0.3409310842799451,0.002977564054860947,0.3409310842799451,0.002977564054860947,0.5106522354062066,0.002977564054860947,True,True,False,False
2026-04-09,short,677.39,0.09448028462185541,0.15485909151300997,0.09448028462185541,0.4960214942647535,0.09448028462185541,0.4960214942647535,False,False,False,False
2026-04-09,short,677.71,0.14165350961326179,0.10756813386255598,0.14165350961326179,0.44856944710863994,0.14165350961326179,0.44856944710863994,False,False,False,False
2026-04-09,short,678.01,0.023598471998933373,0.4041238329818158,0.023598471998933373,0.4041238329818158,0.023598471998933373,0.4041238329818158,False,False,False,False
2026-04-14,short,692.41,0.028884620383866758,0.05343654771017238,0.028884620383866758,0.12853656070824893,0.028884620383866758,0.18630580147601528,False,False,False,False
2026-04-14,short,692.68,0.028873361436728622,0.08950742045388992,0.028873361436728622,0.08950742045388992,0.028873361436728622,0.1501414794710512,False,False,False,False
2026-04-14,short,692.685,0.029594981845994538,0.08878494553801644,0.029594981845994538,0.08878494553801644,0.029594981845994538,0.14941856688106164,False,False,False,False
2026-04-17,short,710.19,0.0774440642645022,0.15770427632040593,0.0774440642645022,0.16122446105971386,0.0774440642645022,0.16122446105971386,False,False,False,False
2026-04-17,short,710.325,0.01830148171611522,0.14218843487136043,0.01830148171611522,0.14218843487136043,0.06546299229226506,0.1443001443001411,False,False,False,False
2026-04-17,short,710.56,0.05136793514972633,0.10906890340014791,0.05136793514972633,0.10906890340014791,0.0985138482323705,0.111179914433697,False,False,False,False
2026-04-20,long,706.4,0.20243488108721172,0.036806342015853755,0.30011325028312635,0.036806342015853755,0.30011325028312635,0.036806342015853755,True,False,False,False
