date,side,level,gap_regime,gap_pct,touch_lbl,ep,mfe15,mfe30,mfe60,hit_>=0.50%,hit_>=0.75%
2026-05-28,long,1H_Sup,Flat,0.051,2nd,732.18,0.08194706219782333,0.2786200114725993,0.441148351498268,False,False
2026-05-28,long,4H_Sup,Flat,0.051,1st,732.26,0.01911889219675885,0.05653729549613351,0.267664490754655,False,False
2026-05-28,long,4H_Sup,Flat,0.051,2nd,732.18,0.08194706219782333,0.2786200114725993,0.441148351498268,False,False
2026-05-28,short,PDH,Flat,0.051,1st,731.39,0.2054307551374699,0.2054307551374699,0.2054307551374699,False,False
2026-05-29,long,PML,Flat,0.324,1st,737.76,0.2155172413793147,0.2155172413793147,0.2155172413793147,False,False
2026-05-29,long,1H_Sup,Flat,0.324,1st,738.04,0.1341390710530607,0.17749715462577356,0.17749715462577356,False,False
2026-05-29,long,1H_Sup,Flat,0.324,2nd,738.18,0.15849792733480625,0.15849792733480625,0.15849792733480625,False,False
2026-05-29,long,4H_Sup,Flat,0.324,1st,738.49,0.10562092919335032,0.10562092919335032,0.11645384500805883,False,False
2026-06-02,long,PML,Flat,0.004,1st,743.94,0.09678199854825839,0.09678199854825839,0.10350297066967522,False,False
2026-06-03,short,PDH,Flat,0.166,1st,744.33,0.05239611462657509,0.20924858597665075,0.2243628498112494,False,False
2026-06-04,short,PMH,Gap Down,-1.181,1st,734.95,0.3170283692768271,0.3170283692768271,0.3170283692768271,False,False
2026-06-09,long,PDL,Gap Up,1.006,1st,715.1,0.39435044049782353,0.39435044049782353,0.39435044049782353,False,False
2026-06-09,long,4H_Sup,Gap Up,1.006,1st,722.66,0.4151329809315585,0.4151329809315585,0.4151329809315585,False,False
2026-06-09,short,PMH,Gap Up,1.006,1st,721.09,0.9818469261812035,0.9818469261812035,1.9317976951559532,True,True
2026-06-09,short,PDH,Gap Up,1.006,1st,721.045,0.9604116247945627,0.975667260711879,1.925677315562828,True,True
2026-06-09,short,1H_Res,Gap Up,1.006,1st,715.95,0.6299322578392332,1.2277393672742618,2.0182973671345827,True,True
2026-06-10,long,PML,Gap Down,-0.887,1st,699.89,0.3929188872537113,0.3929188872537113,0.3929188872537113,False,False
2026-06-10,long,1H_Sup,Gap Down,-0.887,1st,706.21,0.4191387830815087,0.4191387830815087,0.7179167669673236,True,False
2026-06-10,short,PMH,Gap Down,-0.887,1st,702.205,0.4478749083245057,0.7277077206798603,0.858011549333897,True,True
2026-06-10,short,1H_Res,Gap Down,-0.887,1st,706.19,0.0007080247525608036,0.0007080247525608036,0.7179370990809909,True,False
2026-06-10,short,1H_Res,Gap Down,-0.887,2nd,705.86,0.7154393222452141,1.2417476553424174,1.371376760264084,True,True
2026-06-10,short,4H_Res,Gap Down,-0.887,2nd,702.77,0.8075188183900786,0.8075188183900786,0.937717887786905,True,True
2026-06-10,short,4H_Res,Gap Down,-0.887,1st,706.19,0.0007080247525608036,0.0007080247525608036,0.7179370990809909,True,False
2026-06-10,short,4H_Res,Gap Down,-0.887,2nd,705.86,0.7154393222452141,1.2417476553424174,1.371376760264084,True,True
