date,attn_growth,price_growth,attn_4wk,fwd_1wk,fwd_2wk,fwd_1mo,fwd_3mo,sym
2024-10-14,59.0,40.8,45.5,-7.98,-12.61,-12.18,-21.01,DNN
2025-10-13,64.4,9.4,70.5,-3.77,8.56,-15.07,26.37,DNN
2026-01-26,60.5,30.7,77.2,-6.82,-4.55,5.56,-5.3,DNN
2025-01-27,70.6,16.1,13.5,7.96,7.3,3.3,-21.5,DOCN
2025-02-03,127.6,31.6,15.5,-0.6,-12.24,-10.92,-34.86,DOCN
2025-02-10,138.7,23.2,17.5,-11.71,-3.73,-18.76,-30.13,DOCN
2025-08-04,116.7,17.1,25.0,-6.08,-4.6,-0.88,49.71,DOCN
2025-08-11,115.1,5.1,27.5,1.58,5.09,14.98,47.68,DOCN
2025-08-18,110.7,9.5,28.5,3.46,3.9,15.98,38.95,DOCN
2025-08-25,78.1,26.7,27.5,0.43,9.41,7.6,36.48,DOCN
2025-10-13,54.8,13.2,23.0,-4.73,-1.81,10.7,27.41,DOCN
2025-10-20,93.1,12.4,27.0,3.07,25.42,11.05,35.89,DOCN
2025-10-27,84.1,8.8,28.0,21.69,12.74,9.49,35.88,DOCN
2025-11-03,94.4,32.7,34.0,-7.36,-11.46,-2.38,27.16,DOCN
2024-11-11,59.6,12.1,19.8,4.2,6.75,15.91,-39.83,ELF
2024-11-18,81.8,14.5,24.0,2.45,10.43,1.77,-40.74,ELF
2024-11-25,123.0,25.6,33.0,7.78,8.58,-1.36,-45.76,ELF
2024-12-02,205.8,16.1,51.8,0.74,-7.84,-10.18,-49.37,ELF
2024-12-09,226.5,15.9,66.8,-8.51,-9.15,-11.19,-51.52,ELF
2025-12-01,219.7,10.4,47.8,-6.19,-1.18,-4.41,1.28,ELF
2025-12-15,244.3,14.8,74.8,-0.02,-3.27,11.87,-9.87,ELF
2025-12-22,206.1,5.6,86.2,-3.25,8.21,17.09,-24.09,ELF
2024-02-26,153.3,16.1,37.0,1.05,-1.85,1.43,-8.74,ENTG
2024-03-04,120.5,10.3,42.0,-2.86,0.54,-0.83,-7.02,ENTG
2024-05-13,57.6,6.1,25.0,2.15,-2.43,3.4,-12.82,ENTG
2026-01-19,59.8,33.0,45.8,2.93,6.77,17.34,36.09,ENTG
2026-01-26,97.4,31.8,55.8,3.73,11.41,12.27,20.61,ENTG
2026-02-02,96.7,18.9,58.0,7.4,9.9,-8.11,21.94,ENTG
2026-02-09,67.7,12.1,64.0,2.33,0.78,-17.61,1.32,ENTG
2024-07-01,50.7,180.3,25.0,20.31,-1.04,-4.69,63.02,EOSE
2024-07-08,79.1,183.8,29.0,-17.75,-22.08,-34.2,35.93,EOSE
2024-07-15,77.8,122.0,31.0,-5.26,-3.68,1.58,70.53,EOSE
2024-12-30,50.6,76.6,30.2,-12.52,6.17,1.23,-32.63,EOSE
2025-01-06,67.9,45.9,33.0,21.37,22.58,7.46,-14.72,EOSE
2025-07-28,69.8,8.5,44.0,15.61,6.35,25.23,190.93,EOSE
2025-08-04,70.9,37.6,46.0,-8.01,-0.78,13.19,186.66,EOSE
2025-09-29,64.0,74.8,50.2,9.68,19.37,27.22,2.94,EOSE
2025-10-06,96.1,68.5,62.2,8.83,16.21,32.13,10.56,EOSE
2025-10-13,107.4,54.1,76.2,6.78,6.58,-8.24,16.02,EOSE
2025-10-20,86.3,58.7,80.5,-0.19,13.7,-23.04,6.54,EOSE
2025-10-27,56.6,27.2,79.2,13.91,-13.91,-6.11,-8.67,EOSE
2025-01-06,55.4,10.3,42.5,-4.26,-3.77,8.69,11.8,EQX
2025-01-13,62.4,13.2,46.5,0.51,3.94,16.1,20.03,EQX
2024-03-18,63.4,42.5,28.0,10.55,29.82,19.72,70.64,EXK
2024-03-25,58.1,44.3,28.2,17.43,16.18,15.35,46.06,EXK
2024-05-27,72.0,49.8,45.0,-8.31,-10.08,-11.34,-22.92,EXK
2025-02-10,57.6,8.1,48.2,-2.75,-2.18,-19.73,-17.48,EXPE
2025-02-17,53.7,14.9,50.5,0.58,-6.34,-11.5,-19.05,EXPE
2026-01-12,61.2,19.5,47.8,3.15,2.84,7.3,19.89,FCX
2026-01-19,55.8,14.2,52.8,-0.3,0.43,6.51,1.28,FCX
2026-01-26,76.6,16.3,67.0,0.73,4.33,13.03,-5.9,FCX
