date,sym,level,setup,direction,exit_cfg,tp,sl,entry_px,result,pnl_pts,bars_held,time_bucket
2025-10-07,NQ,OR15High,reject,short,TP40_SL20,40,20,25230.25,SL,-20.0,2,09:30-09:45
2025-10-07,NQ,GlobexHigh,reject,short,TP25_SL12,25,12,25246.5,SL,-12.0,4,09:30-09:45
2025-10-07,NQ,GlobexHigh,reject,short,TP40_SL20,40,20,25246.5,TP,40.0,57,09:30-09:45
2025-10-07,NQ,PriorRTHLow,breakout,long,TP25_SL12,25,12,25158.0,SL,-12.0,0,11:00-12:00
2025-10-07,NQ,PriorRTHLow,breakout,long,TP40_SL20,40,20,25158.0,SL,-20.0,1,11:00-12:00
2025-10-07,NQ,GlobexLow,breakout,long,TP25_SL12,25,12,25094.0,SL,-12.0,0,11:00-12:00
2025-10-07,NQ,GlobexLow,breakout,long,TP40_SL20,40,20,25094.0,SL,-20.0,1,11:00-12:00
2025-10-07,NQ,PriorRTHLow,reject,short,TP25_SL12,25,12,25094.0,TP,25.0,1,11:00-12:00
2025-10-07,NQ,PriorRTHLow,reject,short,TP40_SL20,40,20,25094.0,TP,40.0,1,11:00-12:00
2025-10-07,NQ,GlobexLow,reject,short,TP25_SL12,25,12,25039.5,TP,25.0,2,11:00-12:00
2025-10-07,NQ,GlobexLow,reject,short,TP40_SL20,40,20,25039.5,TP,40.0,2,11:00-12:00
2025-10-08,NQ,OR15Low,breakout,long,TP25_SL12,25,12,25125.5,SL,-12.0,2,09:30-09:45
2025-10-08,NQ,OR15Low,breakout,long,TP40_SL20,40,20,25125.5,TP,40.0,15,09:30-09:45
2025-10-08,NQ,OR15High,reject,short,TP25_SL12,25,12,25116.75,SL,-12.0,0,09:30-09:45
2025-10-08,NQ,OR15High,reject,short,TP40_SL20,40,20,25116.75,SL,-20.0,3,09:30-09:45
2025-10-08,NQ,VWAP,reject,short,TP25_SL12,25,12,25116.75,SL,-12.0,0,09:30-09:45
2025-10-08,NQ,VWAP,reject,short,TP40_SL20,40,20,25116.75,SL,-20.0,3,09:30-09:45
2025-10-08,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,25233.5,SL,-12.0,6,11:00-12:00
2025-10-08,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,25233.5,SL,-20.0,19,11:00-12:00
2025-10-09,NQ,GlobexLow,breakout,long,TP25_SL12,25,12,25310.75,SL,-12.0,0,09:30-09:45
2025-10-09,NQ,GlobexLow,breakout,long,TP40_SL20,40,20,25310.75,SL,-20.0,5,09:30-09:45
2025-10-09,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,25310.75,TP,25.0,7,09:30-09:45
2025-10-09,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,25310.75,TP,40.0,9,09:30-09:45
2025-10-09,NQ,OR15High,reject,short,TP25_SL12,25,12,25310.75,TP,25.0,7,09:30-09:45
2025-10-09,NQ,OR15High,reject,short,TP40_SL20,40,20,25310.75,TP,40.0,9,09:30-09:45
2025-10-09,NQ,VWAP,reject,short,TP25_SL12,25,12,25310.75,TP,25.0,7,09:30-09:45
2025-10-09,NQ,VWAP,reject,short,TP40_SL20,40,20,25310.75,TP,40.0,9,09:30-09:45
2025-10-09,NQ,OR15Low,breakout,long,TP25_SL12,25,12,25303.5,SL,-12.0,4,09:30-09:45
2025-10-09,NQ,OR15Low,breakout,long,TP40_SL20,40,20,25303.5,SL,-20.0,7,09:30-09:45
2025-10-09,NQ,GlobexLow,reject,short,TP25_SL12,25,12,25301.75,TP,25.0,3,09:30-09:45
2025-10-09,NQ,GlobexLow,reject,short,TP40_SL20,40,20,25301.75,TP,40.0,4,09:30-09:45
2025-10-09,NQ,OR15Low,reject,short,TP25_SL12,25,12,25263.0,SL,-12.0,1,09:45-10:00
2025-10-09,NQ,OR15Low,reject,short,TP40_SL20,40,20,25263.0,SL,-20.0,2,09:45-10:00
2025-10-10,NQ,OR15Low,breakout,long,TP25_SL12,25,12,25335.75,SL,-12.0,0,09:30-09:45
2025-10-10,NQ,OR15Low,breakout,long,TP40_SL20,40,20,25335.75,TP,40.0,5,09:30-09:45
2025-10-10,NQ,GlobexHigh,reject,short,TP25_SL12,25,12,25324.0,SL,-12.0,1,09:30-09:45
2025-10-10,NQ,GlobexHigh,reject,short,TP40_SL20,40,20,25324.0,SL,-20.0,2,09:30-09:45
2025-10-10,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,25324.0,SL,-12.0,1,09:30-09:45
2025-10-10,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,25324.0,SL,-20.0,2,09:30-09:45
2025-10-10,NQ,VWAP,reject,short,TP25_SL12,25,12,25324.0,SL,-12.0,1,09:30-09:45
2025-10-10,NQ,VWAP,reject,short,TP40_SL20,40,20,25324.0,SL,-20.0,2,09:30-09:45
2025-10-10,NQ,OR15High,reject,short,TP25_SL12,25,12,25363.5,SL,-12.0,4,09:30-09:45
2025-10-10,NQ,OR15High,reject,short,TP40_SL20,40,20,25363.5,SL,-20.0,4,09:30-09:45
