Sym,Setup,Level,TimeWindow,ExitCfg,N,WR%,PF,EV_pts,MaxDD_pts
ES,reject,OR15Low,14:00-close,TP12_SL6,2,0.0,0.0,-3.0,-6.0
ES,reject,OR15Low,14:00-close,TP8_SL4,2,0.0,0.0,-4.0,-4.0
ES,reject,VWAP,10:00-10:30,TP12_SL6,3,0.0,0.0,-6.0,-12.0
NQ,breakout,PriorRTHHigh,14:00-close,TP25_SL12,2,100.0,inf,25.0,0.0
NQ,breakout,PriorRTHHigh,14:00-close,TP40_SL20,2,100.0,inf,40.0,0.0
NQ,reject,VWAP,10:00-10:30,TP25_SL12,1,100.0,inf,25.0,0.0
NQ,reject,VWAP,10:00-10:30,TP40_SL20,1,100.0,inf,40.0,0.0
NQ,reject,PriorRTHHigh,14:00-close,TP25_SL12,8,87.5,12.81,17.72,-12.0
NQ,breakout,GlobexLow,14:00-close,TP25_SL12,7,71.4,5.21,14.43,-12.0
NQ,reject,PriorRTHLow,12:00-14:00,TP25_SL12,9,66.7,4.17,12.67,-12.0
NQ,breakout,OR15High,09:45-10:00,TP40_SL20,3,66.7,4.0,20.0,-20.0
NQ,reject,OR15Low,11:00-12:00,TP40_SL20,6,66.7,4.0,20.0,-20.0
NQ,breakout,OR15Low,09:45-10:00,TP25_SL12,4,50.0,2.08,6.5,-12.0
NQ,breakout,PriorRTHHigh,10:30-11:00,TP25_SL12,2,50.0,2.08,6.5,0.0
NQ,breakout,PriorRTHHigh,11:00-12:00,TP25_SL12,2,50.0,2.08,6.5,0.0
NQ,reject,OR15Low,11:00-12:00,TP25_SL12,6,50.0,2.08,6.5,-36.0
NQ,reject,VWAP,09:45-10:00,TP25_SL12,2,50.0,2.08,6.5,-12.0
NQ,reject,GlobexHigh,09:30-09:45,TP40_SL20,59,50.8,2.07,10.51,-140.0
NQ,breakout,PriorRTHHigh,09:45-10:00,TP40_SL20,6,50.0,2.0,10.0,-20.0
NQ,breakout,PriorRTHLow,14:00-close,TP40_SL20,2,50.0,2.0,10.0,0.0
NQ,reject,VWAP,09:45-10:00,TP40_SL20,2,50.0,2.0,10.0,-20.0
NQ,reject,GlobexLow,10:00-10:30,TP25_SL12,17,47.1,1.85,5.41,-24.0
NQ,reject,OR15High,09:45-10:00,TP25_SL12,15,46.7,1.82,5.27,-24.0
NQ,reject,GlobexHigh,10:30-11:00,TP25_SL12,13,46.2,1.79,5.08,-72.0
NQ,reject,GlobexHigh,09:45-10:00,TP25_SL12,11,45.5,1.74,4.82,-24.0
NQ,breakout,VWAP,09:30-09:45,TP25_SL12,27,44.4,1.67,4.44,-72.0
NQ,reject,OR15High,09:30-09:45,TP40_SL20,223,45.3,1.67,7.25,-180.0
NQ,reject,PriorRTHLow,12:00-14:00,TP40_SL20,9,44.4,1.6,6.67,-40.0
NQ,breakout,GlobexLow,11:00-12:00,TP25_SL12,14,42.9,1.56,3.86,-36.0
NQ,reject,OR15Low,10:00-10:30,TP40_SL20,16,43.8,1.56,6.25,-80.0
NQ,reject,PriorRTHLow,10:30-11:00,TP25_SL12,14,42.9,1.56,3.86,-48.0
NQ,breakout,PriorRTHLow,10:00-10:30,TP25_SL12,12,41.7,1.49,3.42,-60.0
NQ,reject,GlobexHigh,11:00-12:00,TP25_SL12,12,41.7,1.49,3.42,-36.0
NQ,reject,GlobexLow,12:00-14:00,TP25_SL12,17,41.2,1.46,3.24,-36.0
NQ,breakout,PriorRTHLow,10:00-10:30,TP40_SL20,12,41.7,1.43,5.0,-100.0
NQ,breakout,VWAP,09:30-09:45,TP40_SL20,27,40.7,1.38,4.44,-100.0
NQ,reject,PriorRTHHigh,14:00-close,TP40_SL20,8,50.0,1.36,3.59,-52.75
NQ,reject,GlobexLow,11:00-12:00,TP40_SL20,10,40.0,1.33,4.0,-60.0
NQ,reject,OR15High,09:30-09:45,TP25_SL12,223,37.7,1.27,1.98,-198.0
NQ,breakout,PriorRTHHigh,09:30-09:45,TP40_SL20,31,38.7,1.26,3.23,-180.0
NQ,reject,GlobexHigh,10:30-11:00,TP40_SL20,13,38.5,1.25,3.08,-120.0
NQ,reject,OR15Low,10:00-10:30,TP25_SL12,16,37.5,1.25,1.88,-59.0
NQ,reject,PriorRTHLow,09:45-10:00,TP25_SL12,8,37.5,1.25,1.88,-24.0
NQ,reject,GlobexHigh,09:30-09:45,TP25_SL12,59,37.3,1.24,1.8,-106.0
NQ,reject,GlobexHigh,12:00-14:00,TP25_SL12,15,40.0,1.2,1.45,-67.25
NQ,reject,PriorRTHLow,09:45-10:00,TP40_SL20,8,37.5,1.2,2.5,-40.0
NQ,breakout,PriorRTHLow,09:30-09:45,TP40_SL20,35,37.1,1.18,2.29,-200.0
NQ,reject,PriorRTHLow,09:30-09:45,TP40_SL20,35,37.1,1.18,2.29,-120.0
NQ,reject,VWAP,09:30-09:45,TP40_SL20,249,36.9,1.18,2.24,-540.0
NQ,breakout,PriorRTHHigh,09:30-09:45,TP25_SL12,31,35.5,1.15,1.13,-80.0
NQ,breakout,GlobexLow,09:45-10:00,TP25_SL12,17,35.3,1.14,1.06,-48.0
NQ,reject,GlobexHigh,09:45-10:00,TP40_SL20,11,36.4,1.14,1.82,-40.0
NQ,reject,GlobexLow,09:45-10:00,TP25_SL12,17,35.3,1.14,1.06,-48.0
NQ,reject,PriorRTHLow,10:30-11:00,TP40_SL20,14,35.7,1.11,1.43,-80.0
NQ,breakout,GlobexLow,09:45-10:00,TP40_SL20,17,35.3,1.09,1.18,-80.0
NQ,reject,GlobexLow,12:00-14:00,TP40_SL20,17,35.3,1.09,1.18,-60.0
NQ,reject,PriorRTHHigh,09:30-09:45,TP40_SL20,68,35.3,1.09,1.18,-320.0
NQ,reject,GlobexLow,14:00-close,TP40_SL20,10,40.0,1.08,0.92,-60.0
NQ,breakout,GlobexHigh,09:30-09:45,TP25_SL12,3,33.3,1.04,0.33,-12.0
NQ,breakout,OR15High,09:45-10:00,TP25_SL12,3,33.3,1.04,0.33,-24.0
NQ,breakout,PriorRTHHigh,09:45-10:00,TP25_SL12,6,33.3,1.04,0.33,-12.0
NQ,breakout,PriorRTHHigh,10:00-10:30,TP25_SL12,3,33.3,1.04,0.33,-12.0
NQ,breakout,PriorRTHLow,10:30-11:00,TP25_SL12,6,33.3,1.04,0.33,-48.0
NQ,reject,OR15High,10:00-10:30,TP25_SL12,3,33.3,1.04,0.33,-12.0
NQ,reject,OR15High,12:00-14:00,TP25_SL12,3,33.3,1.04,0.33,-12.0
NQ,reject,OR15Low,10:30-11:00,TP25_SL12,6,33.3,1.04,0.33,-48.0
NQ,reject,PriorRTHHigh,10:30-11:00,TP25_SL12,12,33.3,1.04,0.33,-36.0
NQ,reject,VWAP,09:30-09:45,TP25_SL12,249,32.9,1.03,0.22,-281.0
NQ,breakout,GlobexHigh,09:30-09:45,TP40_SL20,3,33.3,1.0,0.0,-20.0
NQ,breakout,GlobexLow,12:00-14:00,TP40_SL20,12,33.3,1.0,0.0,-80.0
NQ,breakout,PriorRTHHigh,10:00-10:30,TP40_SL20,3,33.3,1.0,0.0,-20.0
NQ,breakout,PriorRTHLow,10:30-11:00,TP40_SL20,6,33.3,1.0,0.0,-80.0
NQ,breakout,PriorRTHLow,11:00-12:00,TP40_SL20,9,33.3,1.0,0.0,-60.0
NQ,reject,GlobexHigh,11:00-12:00,TP40_SL20,12,33.3,1.0,0.0,-60.0
NQ,reject,OR15High,09:45-10:00,TP40_SL20,15,33.3,1.0,0.0,-60.0
NQ,reject,OR15High,10:00-10:30,TP40_SL20,3,33.3,1.0,0.0,-20.0
NQ,reject,OR15High,12:00-14:00,TP40_SL20,3,33.3,1.0,0.0,-20.0
NQ,reject,OR15Low,10:30-11:00,TP40_SL20,6,33.3,1.0,0.0,-80.0
NQ,reject,PriorRTHHigh,09:45-10:00,TP40_SL20,15,33.3,1.0,0.0,-120.0
NQ,reject,PriorRTHHigh,10:30-11:00,TP40_SL20,12,33.3,1.0,0.0,-80.0
