symbol,direction,entry,exit,exit_type,pnl_pct,bar,slack,tier,rvol,cluster,score,strategy
AAPL,long,255.99,256.69,tp,0.0005,30,0.7542087542088797,expanded,1.1627996638059328,154,85,boof22
AAPL,long,256.41,256.57,tp,0.0005,30,0.7665706051874963,expanded,1.2648880213506535,11,95,boof22
AAPL,long,256.59,256.3,tp,0.0005,30,0.6706586826350216,expanded,1.237558816841295,117,95,boof22
AAPL,long,256.25,255.65,sl,-0.0003,30,0.6131386861314335,expanded,1.215628246085099,40,95,boof22
AAPL,short,254.33,252.315,tp,0.0005,30,0.6066134549600852,expanded,2.7496099197975226,121,95,boof22
AAPL,long,252.175,251.105,tp,0.0005,30,0.7512690355330062,expanded,1.0128021510151202,18,85,boof22
AAPL,long,250.54,250.76,tp,0.0005,30,0.7671232876713118,expanded,0.900729623279072,25,80,boof22
AAPL,long,250.215,249.405,tp,0.0005,30,1.018867924528239,expanded,1.6573578854336557,57,85,boof22
AAPL,long,249.64,248.58,tp,0.0005,30,0.6829268292682874,expanded,1.0190005368088586,48,85,boof22
AAPL,long,248.38,247.84,sl,-0.0003,30,0.9523809523811697,expanded,1.2710975493468104,73,85,boof22
AAPL,short,248.57,247.33,tp,0.0005,30,0.6124999999999207,expanded,1.3432245627620751,82,95,boof22
AAPL,short,248.095,247.37,tp,0.0005,30,0.768627450980331,expanded,1.796237957891062,99,95,boof22
AAPL,long,244.525,246.77,sl,-0.0003,30,0.8211143695014136,expanded,2.082658341402023,5,85,boof22
AAPL,long,248.02,247.585,tp,0.0005,30,0.6475279106857319,expanded,1.767162442021668,60,95,boof22
AAPL,short,248.585,247.01,tp,0.0005,30,0.6390041493775235,expanded,2.837365118732533,82,95,boof22
AAPL,long,246.01,245.96,sl,-0.0003,30,0.6753246753247868,expanded,1.235184715933811,14,95,boof22
AAPL,short,246.32,245.955,sl,-0.0003,30,0.7078651685391174,expanded,1.24440615502429,9,95,boof22
AAPL,long,247.08,249.08,tp,0.0005,30,0.6873385012919806,expanded,1.3732495971520189,42,95,boof22
AAPL,long,248.85,249.76,sl,-0.0003,30,0.6411323896752783,expanded,0.8220271348762969,25,80,boof22
AAPL,short,250.005,249.81,tp,0.0005,30,0.7247956403270247,expanded,1.1838792872647987,25,85,boof22
AAPL,long,249.18,249.66,tp,0.0005,30,0.6703499079189303,expanded,1.1464914849993724,35,85,boof22
AAPL,long,249.51,249.86,tp,0.0005,30,0.915887850467355,expanded,1.6840710310098066,8,85,boof22
AAPL,short,249.76,250.29,tp,0.0005,30,0.755186721991667,expanded,0.9672619047619047,15,80,boof22
AAPL,short,250.64,250.35,tp,0.0005,30,0.8967971530249262,expanded,1.5076529380522428,25,85,boof22
AAPL,long,250.71,249.89,tp,0.0005,30,0.7427055702917161,expanded,1.7393818672492452,29,95,boof22
AAPL,long,249.93,249.1,sl,-0.0003,30,0.9553805774277876,expanded,1.553347668124861,36,85,boof22
AAPL,long,248.85,248.54,tp,0.0005,30,0.6071428571429203,expanded,2.9208607230895645,25,95,boof22
AAPL,long,245.67,246.05,sl,-0.0003,30,0.8034934497816775,expanded,1.7625205803301296,13,85,boof22
AAPL,long,248.5,248.505,sl,-0.0003,30,0.7656249999999418,expanded,1.0954561238794644,82,85,boof22
AAPL,long,247.78,247.14,tp,0.0005,30,1.1200000000001389,expanded,1.513854377649245,28,85,boof22
AAPL,long,248.31,248.04,tp,0.0005,30,0.7671232876713785,expanded,1.8098487018567224,45,95,boof22
AAPL,short,252.76,253.66,sl,-0.0003,30,0.7569553805774558,expanded,1.2871075592306227,15,95,boof22
AAPL,short,255.1,254.76,tp,0.0005,30,0.6197916666666251,expanded,1.2703080557296438,147,95,boof22
AAPL,long,255.22,255.15,sl,-0.0003,30,0.9032258064515954,expanded,1.6981019346599504,20,85,boof22
AAPL,long,254.21,254.87,sl,-0.0003,30,0.9966101694913938,expanded,1.2612124199112864,52,85,boof22
AAPL,short,255.105,255.28,tp,0.0005,30,0.697674418604587,expanded,1.525251793348308,147,95,boof22
AAPL,long,260.17,260.93,sl,-0.0003,30,1.0826271186440173,expanded,1.7552907468906687,136,85,boof22
