sym,time,open,high,low,close,volume,trade_count,vwap
QQQ,2025-12-22 09:06:00-05:00,620.89,620.89,620.89,620.89,50.0,1.0,620.89
QQQ,2025-12-22 09:10:00-05:00,621.06,621.06,621.06,621.06,221.0,4.0,621.06
QQQ,2025-12-22 09:12:00-05:00,621.02,621.02,621.02,621.02,300.0,1.0,621.02
QQQ,2025-12-22 09:13:00-05:00,620.96,620.96,620.96,620.96,40.0,1.0,620.96
QQQ,2025-12-22 09:16:00-05:00,621.09,621.1,621.09,621.1,120.0,3.0,621.095
QQQ,2025-12-22 09:19:00-05:00,621.23,621.23,621.23,621.23,100.0,1.0,621.23
QQQ,2025-12-22 09:23:00-05:00,621.15,621.26,621.15,621.26,270.0,7.0,621.2075
QQQ,2025-12-22 09:25:00-05:00,621.24,621.24,621.24,621.24,239.0,9.0,621.24
QQQ,2025-12-22 09:26:00-05:00,621.22,621.27,621.22,621.23,590.0,17.0,621.242045
QQQ,2025-12-22 09:27:00-05:00,621.16,621.16,621.08,621.11,746.0,13.0,621.110549
QQQ,2025-12-22 09:29:00-05:00,621.38,621.38,621.34,621.34,600.0,3.0,621.36
QQQ,2025-12-23 08:37:00-05:00,618.02,618.02,618.01,618.01,250.0,3.0,618.016
QQQ,2025-12-23 08:38:00-05:00,618.04,618.04,618.04,618.04,100.0,2.0,618.04
QQQ,2025-12-23 08:39:00-05:00,617.87,617.87,617.43,617.44,200.0,3.0,617.5425
QQQ,2025-12-23 08:40:00-05:00,617.52,617.52,617.52,617.52,120.0,2.0,617.52
QQQ,2025-12-23 08:44:00-05:00,618.06,618.06,618.05,618.06,350.0,3.0,618.057143
QQQ,2025-12-23 08:45:00-05:00,618.12,618.19,618.05,618.19,490.0,6.0,618.127778
QQQ,2025-12-23 08:46:00-05:00,618.16,618.16,618.1,618.1,500.0,5.0,618.128
QQQ,2025-12-23 08:51:00-05:00,617.96,617.96,617.96,617.96,50.0,1.0,617.96
QQQ,2025-12-23 09:06:00-05:00,617.74,617.74,617.69,617.69,290.0,6.0,617.708
QQQ,2025-12-23 09:07:00-05:00,617.63,617.66,617.5,617.5,250.0,5.0,617.61
QQQ,2025-12-23 09:13:00-05:00,617.66,617.66,617.66,617.66,40.0,1.0,617.66
QQQ,2025-12-23 09:15:00-05:00,617.77,617.77,617.77,617.77,40.0,1.0,617.77
QQQ,2025-12-23 09:22:00-05:00,617.91,617.91,617.91,617.91,160.0,3.0,617.91
QQQ,2025-12-23 09:28:00-05:00,618.23,618.23,618.23,618.23,105.0,1.0,618.23
QQQ,2025-12-24 08:16:00-05:00,622.29,622.29,622.29,622.29,66.0,2.0,622.29
QQQ,2025-12-24 08:26:00-05:00,622.36,622.36,622.36,622.36,50.0,1.0,622.36
QQQ,2025-12-24 08:40:00-05:00,622.55,622.55,622.55,622.55,100.0,1.0,622.55
QQQ,2025-12-24 08:53:00-05:00,622.86,622.86,622.86,622.86,300.0,1.0,622.86
QQQ,2025-12-24 08:54:00-05:00,622.77,622.77,622.77,622.77,150.0,2.0,622.77
QQQ,2025-12-26 08:24:00-05:00,624.65,624.65,624.65,624.65,60.0,1.0,624.65
QQQ,2025-12-26 08:27:00-05:00,624.68,624.68,624.68,624.68,300.0,1.0,624.68
QQQ,2025-12-26 08:33:00-05:00,624.78,624.78,624.78,624.78,50.0,1.0,624.78
QQQ,2025-12-26 08:34:00-05:00,624.84,624.87,624.84,624.87,400.0,3.0,624.862105
QQQ,2025-12-26 08:48:00-05:00,624.93,624.93,624.93,624.93,100.0,1.0,624.93
QQQ,2025-12-26 08:59:00-05:00,624.59,624.59,624.59,624.59,120.0,2.0,624.59
QQQ,2025-12-26 09:10:00-05:00,624.59,624.59,624.59,624.59,50.0,1.0,624.59
QQQ,2025-12-26 09:19:00-05:00,624.85,624.85,624.85,624.85,100.0,1.0,624.85
