symbol,date,time,entry,mfe,LONG_SCORE,bar1_rvol,bar1_body_pct,vwap_slope,is_runner
IREN,2025-02-28,14:35:00,7.84,4.02,3,2.2,1.17,0.416,1
IREN,2025-02-28,14:36:00,7.88,3.36,3,2.3,1.03,0.518,1
RKLB,2025-01-06,14:33:00,29.95,0.13,3,2.2,1.3,0.522,0
RKLB,2025-01-08,14:35:00,28.26,0.21,3,2.0,0.97,0.288,0
RKLB,2025-01-21,14:30:00,26.55,10.25,3,13.7,0.42,0.431,1
RKLB,2025-01-21,14:31:00,27.36,7.0,4,9.3,2.63,1.068,1
RKLB,2025-01-21,14:32:00,27.9,4.92,3,6.1,3.04,2.015,1
RKLB,2025-01-21,15:26:00,30.53,3.64,3,2.2,1.58,1.128,1
RKLB,2025-01-24,14:30:00,32.95,1.18,4,17.8,0.94,0.257,0
RKLB,2025-01-24,14:31:00,33.12,0.68,3,7.5,1.84,0.703,0
RKLB,2025-01-29,14:30:00,29.58,2.27,3,15.2,1.23,0.75,1
RKLB,2025-01-30,14:33:00,30.07,2.45,4,8.2,2.13,0.777,1
RKLB,2025-01-31,14:32:00,29.37,0.17,4,8.4,1.06,0.509,0
RKLB,2025-02-07,14:32:00,28.7,3.45,3,6.7,1.4,0.399,1
RKLB,2025-02-07,14:44:00,29.36,1.13,3,2.2,0.9,1.306,0
RKLB,2025-02-18,14:30:00,29.09,0.17,4,18.5,1.9,0.595,0
LUNR,2025-01-02,14:55:00,19.74,5.7,3,3.6,1.36,1.628,1
LUNR,2025-01-15,14:30:00,18.04,1.72,4,13.8,1.27,0.796,0
LUNR,2025-01-15,14:31:00,18.24,0.33,3,5.9,0.92,1.164,0
LUNR,2025-01-21,14:30:00,20.08,8.67,3,14.5,1.05,0.195,1
LUNR,2025-01-21,14:31:00,20.48,6.54,3,7.3,1.41,0.785,1
LUNR,2025-01-21,14:32:00,20.8,4.88,3,5.2,1.84,1.53,1
LUNR,2025-01-24,14:30:00,24.26,2.84,4,14.6,2.85,1.673,1
LUNR,2025-01-24,14:31:00,24.57,1.55,3,7.8,1.63,2.813,0
LUNR,2025-01-29,14:30:00,21.96,1.78,4,16.0,1.35,0.866,0
LUNR,2025-01-30,14:33:00,21.92,1.82,3,8.9,1.07,0.735,0
LUNR,2025-01-31,14:31:00,22.96,1.83,3,8.8,2.52,-0.281,0
LUNR,2025-02-07,14:31:00,19.86,0.98,3,8.5,1.34,0.027,0
LUNR,2025-02-18,14:30:00,21.35,2.11,4,16.1,2.59,1.043,1
LUNR,2025-02-28,14:30:00,13.84,3.11,3,16.7,1.29,0.18,1
LUNR,2025-02-28,14:36:00,14.22,0.42,3,2.2,1.0,2.132,0
LUNR,2025-05-02,14:44:00,9.41,0.96,3,7.7,1.42,0.295,0
ASTS,2025-01-21,14:30:00,21.44,3.87,3,17.0,1.72,0.011,1
ASTS,2025-02-03,14:30:00,19.91,4.37,3,17.1,2.96,-0.095,1
ASTS,2025-02-06,14:31:00,26.12,3.71,3,7.1,1.78,0.92,1
ASTS,2025-02-10,14:30:00,29.0,5.7,4,17.6,2.45,1.267,1
ASTS,2025-02-10,14:31:00,29.12,5.27,3,10.2,3.19,2.757,1
ASTS,2025-02-13,15:18:00,29.65,0.47,3,2.3,0.95,0.72,0
ASTS,2025-02-19,14:35:00,32.39,2.44,3,3.3,1.13,1.01,1
ASTS,2025-02-26,14:30:00,28.81,6.28,3,9.4,0.67,1.068,1
ASTS,2025-02-26,14:31:00,29.07,5.33,3,5.9,1.66,1.302,1
ASTS,2025-02-27,14:31:00,28.9,0.87,3,6.4,1.12,0.284,0
ASTS,2025-02-28,14:35:00,26.31,1.71,3,4.2,1.12,0.538,0
ASTS,2025-03-04,14:34:00,25.86,9.03,3,2.5,2.0,0.444,1
ASTS,2025-03-04,14:36:00,27.3,3.3,3,2.5,2.6,1.024,1
ASTS,2025-03-05,14:40:00,31.25,4.88,3,3.1,1.3,0.322,1
